label,aoi_mean,aoi_calculate_margin_error,total_latency_mean,total_latency_calculate_margin_error,number_of_requests_to_provider_mean,number_of_requests_to_provider_calculate_margin_error,hit_rate_mean,hit_rate_calculate_margin_error,accuracy,neighbor,user_type,caching_mode
accuracy-0-N0-standard-cache-mode-id,34567.80269434753,339.4582851654802,1187.6640808135242,12.134593567705185,156096.93333333332,234.5967178663317,0.1319049712028241,0.0008597663786597,0,0,id,standard
accuracy-0-N0-standard-cache-mode-location,40322.89494190319,201.30693576470344,1176.30302517913,27.086047323439917,154458.46666666667,181.06280017454864,0.1418930948338476,0.0005518180316569,0,0,location,standard
accuracy-0-N0-standard-cache-mode-mix,36331.18174385403,441.2953849196725,1187.4941579038727,20.477926289608167,155756.86666666667,286.44902999390337,0.1345148027447735,0.001131572484177,0,0,mix,standard
accuracy-0-N0-standard-cache-mode-type,38364.01213052481,398.7167097294065,1195.329685562718,28.174951808314844,155155.96666666667,285.58341052096927,0.1378840441320416,0.0010597392229405,0,0,type,standard
accuracy-0-N1-standard-cache-mode-id,39240.07098769073,319.1242099759878,1186.4518681928014,11.369685759132205,154099.06666666668,162.1274537592451,0.144254829161848,0.0006607198855758,0,1,id,standard
accuracy-0-N1-standard-cache-mode-location,42654.95671696386,220.5276540528855,1171.209194113272,20.855062406121693,153218.76666666666,183.8525801058281,0.1490133837896432,0.0005680993731738,0,1,location,standard
accuracy-0-N1-standard-cache-mode-mix,40360.053998749885,279.2234525025063,1178.0953234995015,15.389078359579663,153708.43333333332,243.8010650068344,0.1455850061865929,0.0006965561832952,0,1,mix,standard
accuracy-0-N1-standard-cache-mode-type,41494.65002823886,280.09205184112835,1199.7517853444172,41.34370187094348,153649.3,235.0176276871129,0.1467292331755778,0.0007824518139004,0,1,type,standard
accuracy-0-N2-standard-cache-mode-id,41210.79727426275,392.7908382803127,1188.1207520211112,10.18962806501216,152922.6,208.44147943171316,0.1500402667252753,0.0005322404153024,0,2,id,standard
accuracy-0-N2-standard-cache-mode-location,43572.19100321255,276.950263322151,1182.3355695628404,34.76297312257693,152542.66666666666,284.014290296157,0.1522960507368815,0.0006602028174268,0,2,location,standard
accuracy-0-N2-standard-cache-mode-mix,41955.86840359075,265.0952515881136,1186.405154576909,17.378372542218713,152939.53333333333,220.46297620702157,0.1502259935846527,0.0005531984647978,0,2,mix,standard
accuracy-0-N2-standard-cache-mode-type,42932.100718261805,261.9802558769546,1185.9853139216425,27.203932788808626,152747.1,212.0535249916635,0.1513778336172565,0.0006238579046144,0,2,type,standard
accuracy-20-N0-standard-mix,175745.71475372987,2888.4614942573844,448.6277705953897,12.65107761924874,71342.43333333333,1772.492556579883,0.6829350038442521,0.0077666155988959,20,0,mix,standard
accuracy-20-N1-standard-mix,205402.84238964188,2333.8402040841083,312.0422341519121,9.35624090300237,52658.46666666667,1397.070753821812,0.7860445041762023,0.0066572047793568,20,1,mix,standard
accuracy-20-N2-standard-mix,222980.36614844317,1993.372067646288,230.6689044076606,9.571242549272256,41545.8,1227.0421666779157,0.848147744057228,0.0060155640658335,20,2,mix,standard
accuracy-40-N0-standard-mix,210344.848802127,2344.6940797768048,244.08147199535287,7.120959064001645,50192.566666666666,1412.363957189694,0.8328543398139956,0.004703121475568,40,0,mix,standard
accuracy-40-N1-standard-mix,230924.78179807783,1948.6615608184889,152.1277107642117,5.877797992525342,37238.36666666667,1152.486540885363,0.9023359113432052,0.0039738520049812,40,1,mix,standard
baseline,254.1917313946816,7.063209229620746,1368.7299122552567,16.788515680503494,179980.33333333334,227.03431316251616,0.0,0.0,0,0,mix,
v2accuracy-0-N0-standard-cache-mode-id,34567.80269434753,339.4582851654802,1187.6640808135242,12.134593567705185,156096.93333333332,234.5967178663317,0.1319049712028241,0.0008597663786597,0,0,id,standard
v2accuracy-0-N0-standard-cache-mode-location,40322.89494190319,201.30693576470344,1176.30302517913,27.086047323439917,154458.46666666667,181.06280017454864,0.1418930948338476,0.0005518180316569,0,0,location,standard
